************
Unfreezing dense_24
****************
p:0.17341329335332334	 r:0.11293260473588343	 f1(macro):0.08342199222556199	 acc:0.561377245508982
p:0.16583806354798722	 r:0.13267194607599622	 f1(macro):0.11658889209909619	 acc:0.5763473053892215
p:0.16654531333430414	 r:0.13449343970076855	 f1(macro):0.11914973339097851	 acc:0.5778443113772455
p:0.16717145936135214	 r:0.13631493332554084	 f1(macro):0.1216453987939664	 acc:0.5793413173652695
p:0.16170195676837043	 r:0.13813642695031317	 f1(macro):0.12360225140712945	 acc:0.5808383233532934
************
Unfreezing dense_24
****************
p:0.16773176550783914	 r:0.13813642695031317	 f1(macro):0.1240784340199545	 acc:0.5808383233532934
p:0.27209401709401715	 r:0.1548334518440594	 f1(macro):0.1530962527056277	 acc:0.5808383233532934
p:0.2560018792576932	 r:0.15817935056122134	 f1(macro):0.15570933671599338	 acc:0.5823353293413174
p:0.2822899668694061	 r:0.1583476591998491	 f1(macro):0.15805195471479402	 acc:0.5793413173652695
************
Unfreezing dense_24
****************
p:0.15612843262743803	 r:0.20012565383828643	 f1(macro):0.16316671074671601	 acc:0.5793413173652695
p:0.2900274332438552	 r:0.219955027943187	 f1(macro):0.17034260399944112	 acc:0.5853293413173652
p:0.3374346552917981	 r:0.2754072680840028	 f1(macro):0.22872400017825145	 acc:0.6062874251497006
p:0.2990480669203255	 r:0.2872080505716253	 f1(macro):0.23853944502107252	 acc:0.6077844311377245
p:0.31440543959519285	 r:0.3136863502842172	 f1(macro):0.26034523295217005	 acc:0.6032934131736527
p:0.33513100259000767	 r:0.3243595253804894	 f1(macro):0.27114291492847803	 acc:0.6182634730538922
p:0.431777778467924	 r:0.3218781010608729	 f1(macro):0.3060097450645943	 acc:0.6212574850299402
p:0.471855678344228	 r:0.33950229501053436	 f1(macro):0.31062908345581275	 acc:0.6182634730538922
p:0.5492489247810886	 r:0.35662107623946077	 f1(macro):0.34296608922544675	 acc:0.6287425149700598
p:0.4352314721061728	 r:0.38794183379630715	 f1(macro):0.35874544655473856	 acc:0.6182634730538922
p:0.4740820251689817	 r:0.36128856709154017	 f1(macro):0.35987757374921114	 acc:0.6272455089820359
p:0.4386951139131169	 r:0.3936910592964383	 f1(macro):0.3661649476968787	 acc:0.624251497005988
p:0.4522826387863237	 r:0.4256000159903979	 f1(macro):0.38463839845608583	 acc:0.6511976047904192
p:0.4970629993508665	 r:0.3867124267209086	 f1(macro):0.38977108283787104	 acc:0.6332335329341318
p:0.5040810537941097	 r:0.4124528872361379	 f1(macro):0.4126276244001292	 acc:0.6452095808383234
p:0.5044456577789911	 r:0.419803670466689	 f1(macro):0.4266207658088839	 acc:0.6586826347305389
p:0.4978459716185814	 r:0.4367881604756383	 f1(macro):0.4322694130919362	 acc:0.6646706586826348
p:0.49824686369226917	 r:0.47921964292732455	 f1(macro):0.4516930709109943	 acc:0.657185628742515
p:0.5276061699062369	 r:0.4623116940161858	 f1(macro):0.4612161584216767	 acc:0.6736526946107785
p:0.5163638670424209	 r:0.4402243593496382	 f1(macro):0.46162279583444943	 acc:0.6751497005988024
p:0.5438526122527294	 r:0.4587659843547452	 f1(macro):0.46615524676297126	 acc:0.6826347305389222
p:0.5942232145122558	 r:0.4633926951282192	 f1(macro):0.4763124396476594	 acc:0.688622754491018
p:0.5613605783261729	 r:0.47821878078460184	 f1(macro):0.48082950073442127	 acc:0.6931137724550899
p:0.551074638391732	 r:0.48374611102205833	 f1(macro):0.4838456073888995	 acc:0.6811377245508982
p:0.5409832884834066	 r:0.4713350927661905	 f1(macro):0.49104524746255795	 acc:0.6916167664670658
p:0.5800133512027277	 r:0.48884210385730104	 f1(macro):0.5059467250503342	 acc:0.6946107784431138
************
Unfreezing dense_24
****************
p:0.6216269590857942	 r:0.4904673144048166	 f1(macro):0.5164324623484595	 acc:0.7125748502994012
p:0.6236245911227295	 r:0.47434691797224965	 f1(macro):0.5185471026826978	 acc:0.7050898203592815
p:0.6236245911227295	 r:0.47434691797224965	 f1(macro):0.5185471026826978	 acc:0.7050898203592815
avg_prec: 0.6236245911227295 total_rec: 0.47434691797224965 total_f1: 0.5185471026826978 total_acc: 0.7050898203592815 
