************
Unfreezing dense_42
****************
p:0.06220891550232868	 r:0.1111111111111111	 f1(macro):0.0797611431008744	 acc:0.5598802395209581
p:0.17426545086119555	 r:0.12932604735883424	 f1(macro):0.11183292693282867	 acc:0.5748502994011976
p:0.15729105500097867	 r:0.1308504524512239	 f1(macro):0.11358588909609318	 acc:0.5748502994011976
p:0.16502935862691961	 r:0.1308504524512239	 f1(macro):0.11396018974154362	 acc:0.5748502994011976
p:0.16583806354798722	 r:0.13267194607599622	 f1(macro):0.11658889209909619	 acc:0.5763473053892215
p:0.15618233618233618	 r:0.1378393384179305	 f1(macro):0.12292325949367089	 acc:0.5793413173652695
p:0.18891334654046518	 r:0.1364832419641686	 f1(macro):0.12373900293255133	 acc:0.5763473053892215
************
Unfreezing leaky_re_lu_66
****************
p:0.18527336860670196	 r:0.13999744931995836	 f1(macro):0.12956695055047915	 acc:0.5748502994011976
p:0.17976127786554327	 r:0.14059162638472367	 f1(macro):0.12964101378533688	 acc:0.5778443113772455
p:0.17316460415976598	 r:0.14241312000949596	 f1(macro):0.13152715547925128	 acc:0.5793413173652695
p:0.15904671460227016	 r:0.14364043656950298	 f1(macro):0.1319903788215655	 acc:0.5778443113772455
p:0.15456126270733014	 r:0.14486775312951	 f1(macro):0.13296695642483003	 acc:0.5763473053892215
p:0.14769790679645103	 r:0.15033223400382695	 f1(macro):0.13753009600397842	 acc:0.5808383233532934
p:0.14995022802509433	 r:0.15232203626722698	 f1(macro):0.14003140014375973	 acc:0.5793413173652695
p:0.14740897732773395	 r:0.15871731148356477	 f1(macro):0.14529116424328967	 acc:0.5808383233532934
p:0.3337767500869105	 r:0.21782503927023	 f1(macro):0.1958932770582682	 acc:0.5868263473053892
p:0.3247142516445038	 r:0.22149534940372778	 f1(macro):0.20531792559022227	 acc:0.5913173652694611
p:0.3073560281672305	 r:0.23474416901662634	 f1(macro):0.21859031139757035	 acc:0.5883233532934131
p:0.3296283320477149	 r:0.24996587149979638	 f1(macro):0.24270996012893054	 acc:0.5958083832335329
p:0.32568215305557074	 r:0.2602153817616796	 f1(macro):0.242943037170993	 acc:0.6062874251497006
p:0.3274432795733525	 r:0.26673943687177226	 f1(macro):0.24996709740671091	 acc:0.6122754491017964
p:0.3499465764946356	 r:0.2699377823317921	 f1(macro):0.2523808203591029	 acc:0.6137724550898204
p:0.47493214457500166	 r:0.3015985141342903	 f1(macro):0.30144032013163713	 acc:0.6137724550898204
p:0.46193423784887205	 r:0.3036942298112918	 f1(macro):0.3015054319183457	 acc:0.6152694610778443
p:0.42493788184395914	 r:0.2975161745799746	 f1(macro):0.3017067268116765	 acc:0.6197604790419161
p:0.4460866633155165	 r:0.30563476738114104	 f1(macro):0.3096490834329177	 acc:0.6212574850299402
p:0.5443859901170972	 r:0.31351532295932755	 f1(macro):0.3205078913486219	 acc:0.625748502994012
p:0.4673047737178171	 r:0.3229672852969468	 f1(macro):0.32859446007002435	 acc:0.6227544910179641
p:0.47634156623518326	 r:0.32502597696644525	 f1(macro):0.3367845048717186	 acc:0.6272455089820359
p:0.5472640765015829	 r:0.3494923644597042	 f1(macro):0.37477061191531474	 acc:0.6437125748502994
p:0.54026256986901	 r:0.3648437567455398	 f1(macro):0.388741232580063	 acc:0.6407185628742516
p:0.5451616775470338	 r:0.3652393476258275	 f1(macro):0.3912223209338308	 acc:0.6392215568862275
p:0.5911904672532217	 r:0.38359550380517854	 f1(macro):0.423923807110305	 acc:0.6601796407185628
p:0.5926872789123786	 r:0.39451955277642314	 f1(macro):0.4360201026874205	 acc:0.6586826347305389
p:0.600567037561698	 r:0.38981697400455007	 f1(macro):0.4400723365230375	 acc:0.6646706586826348
p:0.5902731022478922	 r:0.405964070971831	 f1(macro):0.44364556158657886	 acc:0.6706586826347305
p:0.5879620451060502	 r:0.4085434841460739	 f1(macro):0.4460152997293825	 acc:0.6661676646706587
p:0.5789113062925255	 r:0.40467575661888816	 f1(macro):0.4478732308521756	 acc:0.6781437125748503
p:0.5749595676140645	 r:0.41139277792195966	 f1(macro):0.4481521608360266	 acc:0.6676646706586826
p:0.5836111132177384	 r:0.40508713619730813	 f1(macro):0.4483606931182524	 acc:0.6766467065868264
p:0.5742716094394482	 r:0.4142789123567423	 f1(macro):0.4485363378595361	 acc:0.6646706586826348
p:0.5753602728820977	 r:0.41521683452497204	 f1(macro):0.450844770409243	 acc:0.6691616766467066
p:0.5865966004571899	 r:0.4120029518303259	 f1(macro):0.4634810373886529	 acc:0.6676646706586826
p:0.5828523995921268	 r:0.4161584493601308	 f1(macro):0.4637457480202115	 acc:0.6766467065868264
p:0.5879845182980097	 r:0.42557524743205377	 f1(macro):0.4695775392977176	 acc:0.6736526946107785
************
Unfreezing concatenate_14
****************
p:0.5460678501137438	 r:0.44468831838242817	 f1(macro):0.4699056653568494	 acc:0.6676646706586826
p:0.5340316072541411	 r:0.44470428648240534	 f1(macro):0.4719262316624602	 acc:0.6796407185628742
p:0.5471567552814564	 r:0.46464958209615503	 f1(macro):0.48331073853162426	 acc:0.6781437125748503
p:0.5584664823822025	 r:0.4639007858953619	 f1(macro):0.48543423119170626	 acc:0.6901197604790419
p:0.5495698663661404	 r:0.4717069297426117	 f1(macro):0.48787518776208283	 acc:0.6841317365269461
************
Unfreezing leaky_re_lu_70
****************
p:0.5731977133126559	 r:0.47292146830122594	 f1(macro):0.507886616936276	 acc:0.6916167664670658
************
Unfreezing dense_42
****************
p:0.5731977133126559	 r:0.47292146830122594	 f1(macro):0.507886616936276	 acc:0.6916167664670658
avg_prec: 0.5731977133126559 total_rec: 0.47292146830122594 total_f1: 0.507886616936276 total_acc: 0.6916167664670658 
