************
Unfreezing dense_30
****************
p:0.15220363270206422	 r:0.12749859438182917	 f1(macro):0.11615488308326251	 acc:0.531437125748503
p:0.23262019783758914	 r:0.13535167611753296	 f1(macro):0.12307458401347346	 acc:0.5748502994011976
p:0.3027993109388458	 r:0.13809700876923323	 f1(macro):0.12475963692938634	 acc:0.5778443113772455
p:0.24499941249310808	 r:0.1380837750172369	 f1(macro):0.12547806602654793	 acc:0.5763473053892215
p:0.36208900827874385	 r:0.14173999601877785	 f1(macro):0.12943897903502644	 acc:0.5808383233532934
************
Unfreezing leaky_re_lu_46
****************
p:0.2775745965401138	 r:0.14356148964355017	 f1(macro):0.1310810280902801	 acc:0.5823353293413174
p:0.29297606027463846	 r:0.14995676485988793	 f1(macro):0.14214916939123357	 acc:0.5838323353293413
p:0.23824236266673196	 r:0.15254017787365687	 f1(macro):0.14329726339967058	 acc:0.5853293413173652
p:0.31531771388001417	 r:0.16113016320782825	 f1(macro):0.15828746529058282	 acc:0.5898203592814372
p:0.2929354497354497	 r:0.16113016320782825	 f1(macro):0.1587105674827811	 acc:0.5898203592814372
p:0.43173318408932115	 r:0.18058722964373197	 f1(macro):0.19210380564669902	 acc:0.594311377245509
p:0.546836599279596	 r:0.20875474141780112	 f1(macro):0.23468523428069032	 acc:0.6017964071856288
p:0.600179407650672	 r:0.21398178424095693	 f1(macro):0.24091487280084944	 acc:0.5988023952095808
p:0.5471029191542778	 r:0.22439326319990066	 f1(macro):0.2470893264267027	 acc:0.6047904191616766
p:0.5410035035035035	 r:0.2282384808908145	 f1(macro):0.25592831321096593	 acc:0.6077844311377245
p:0.5740805361692699	 r:0.24689216830378427	 f1(macro):0.274346145048628	 acc:0.6092814371257484
p:0.567602204280405	 r:0.2574526162235721	 f1(macro):0.28509019485335885	 acc:0.6167664670658682
p:0.528421072665677	 r:0.26798278659750996	 f1(macro):0.2945716881569284	 acc:0.6167664670658682
p:0.5089463089463089	 r:0.27122002715726573	 f1(macro):0.29746102153465837	 acc:0.6152694610778443
p:0.49577093111462844	 r:0.2771718628586821	 f1(macro):0.31943885319460275	 acc:0.6212574850299402
p:0.51992192992193	 r:0.3038745767885307	 f1(macro):0.3384289518007967	 acc:0.6287425149700598
p:0.5266877728626362	 r:0.30415180256178564	 f1(macro):0.3412455722175427	 acc:0.6287425149700598
p:0.5240303459656418	 r:0.30777523438937804	 f1(macro):0.34458211466158367	 acc:0.6302395209580839
p:0.5388974960530004	 r:0.3093064842330676	 f1(macro):0.34742711163821666	 acc:0.6362275449101796
p:0.5112817359042678	 r:0.30825386531238474	 f1(macro):0.34797583207014493	 acc:0.6302395209580839
p:0.5363598814091771	 r:0.3197776136732329	 f1(macro):0.36124975047828034	 acc:0.6362275449101796
p:0.5384502923976608	 r:0.31546970138330815	 f1(macro):0.36549164123786615	 acc:0.6467065868263473
p:0.5446137802228413	 r:0.3199549033207636	 f1(macro):0.36703651982806534	 acc:0.6511976047904192
p:0.5477092218268689	 r:0.3292210163666789	 f1(macro):0.38073199126678176	 acc:0.6541916167664671
p:0.5913967618110566	 r:0.33296716539529125	 f1(macro):0.39181205938005614	 acc:0.6601796407185628
p:0.5392120141052388	 r:0.34847797241710987	 f1(macro):0.39830840182989136	 acc:0.6661676646706587
p:0.5319616675241767	 r:0.3533322476070791	 f1(macro):0.3988120169572992	 acc:0.6721556886227545
p:0.5238990015740556	 r:0.368740391833486	 f1(macro):0.4146037819756181	 acc:0.6796407185628742
p:0.5425457394913247	 r:0.36903141767313374	 f1(macro):0.4171603042432433	 acc:0.6811377245508982
p:0.5715517827008099	 r:0.36890968378541855	 f1(macro):0.4252451870616815	 acc:0.6796407185628742
p:0.5471177490608298	 r:0.3784240744609143	 f1(macro):0.4262074452540615	 acc:0.6856287425149701
************
Unfreezing concatenate_10
****************
p:0.5365820682290589	 r:0.40920781959144464	 f1(macro):0.4397962878265113	 acc:0.6721556886227545
p:0.562624580778214	 r:0.40197328955218325	 f1(macro):0.45194541892191353	 acc:0.6751497005988024
p:0.5600893065024157	 r:0.4080076335314287	 f1(macro):0.4533439794010372	 acc:0.6811377245508982
p:0.539223627256217	 r:0.42526775859897264	 f1(macro):0.4535257154912501	 acc:0.6811377245508982
p:0.5545461793840727	 r:0.4362750074868404	 f1(macro):0.4667056806952308	 acc:0.6811377245508982
p:0.5605508538350988	 r:0.4374808366509846	 f1(macro):0.4722999908060811	 acc:0.6826347305389222
p:0.5761780571297304	 r:0.4464874012776504	 f1(macro):0.48376978727000125	 acc:0.6781437125748503
p:0.5815876510320955	 r:0.46191369598020404	 f1(macro):0.49237269598452316	 acc:0.687125748502994
************
Unfreezing leaky_re_lu_50
****************
************
Unfreezing dense_30
****************
p:0.5815876510320955	 r:0.46191369598020404	 f1(macro):0.49237269598452316	 acc:0.687125748502994
avg_prec: 0.5815876510320955 total_rec: 0.46191369598020404 total_f1: 0.49237269598452316 total_acc: 0.687125748502994 
