************
Unfreezing dense_3
****************
p:0.11795128461795128	 r:0.11293260473588343	 f1(macro):0.0834418667752001	 acc:0.561377245508982
p:0.17426545086119555	 r:0.12932604735883424	 f1(macro):0.11183292693282867	 acc:0.5748502994011976
p:0.1743615761880602	 r:0.13114754098360656	 f1(macro):0.1145627522122834	 acc:0.5763473053892215
************
Unfreezing leaky_re_lu_5
****************
p:0.1744579945799458	 r:0.13296903460837886	 f1(macro):0.11722007950229789	 acc:0.5778443113772455
p:0.1746517159361196	 r:0.1366120218579235	 f1(macro):0.12232886583081136	 acc:0.5808383233532934
p:0.16170195676837043	 r:0.13813642695031317	 f1(macro):0.12360225140712945	 acc:0.5808383233532934
p:0.1747490216096648	 r:0.1384335154826958	 f1(macro):0.12478575536536894	 acc:0.5823353293413174
************
Unfreezing concatenate_1
****************
p:0.36929371231696817	 r:0.18662787740254794	 f1(macro):0.1996191699277513	 acc:0.5808383233532934
p:0.3080904833778397	 r:0.22336782590720233	 f1(macro):0.20366141284015676	 acc:0.5823353293413174
p:0.34866370151180276	 r:0.23002704991174625	 f1(macro):0.20711604093489966	 acc:0.5883233532934131
p:0.4557169689499325	 r:0.23120855928997694	 f1(macro):0.207998977928206	 acc:0.5883233532934131
p:0.5330552359033371	 r:0.2342115622929799	 f1(macro):0.2164200477294886	 acc:0.5898203592814372
p:0.5086683209263855	 r:0.25801165472052334	 f1(macro):0.2418511864626035	 acc:0.5883233532934131
p:0.48756655494381135	 r:0.2610146577235264	 f1(macro):0.24784363514956537	 acc:0.5898203592814372
p:0.49272898102685336	 r:0.2674992946525391	 f1(macro):0.2537309662441921	 acc:0.592814371257485
p:0.4774323319777865	 r:0.2726666869944734	 f1(macro):0.2597699958669799	 acc:0.5958083832335329
p:0.4656579803638627	 r:0.27918389735326615	 f1(macro):0.26965527451546417	 acc:0.5958083832335329
p:0.4733489978931773	 r:0.2804941866252517	 f1(macro):0.2708442439671075	 acc:0.6002994011976048
p:0.47152449493388093	 r:0.27614832092048314	 f1(macro):0.27219713379559085	 acc:0.5973053892215568
p:0.46883754495551766	 r:0.28524951060744125	 f1(macro):0.27625527936325134	 acc:0.5988023952095808
p:0.4856644891207103	 r:0.29096527283236445	 f1(macro):0.28829361292512456	 acc:0.6062874251497006
p:0.5188537655399253	 r:0.30821756141952866	 f1(macro):0.3029889194256225	 acc:0.6107784431137725
p:0.4871516164994426	 r:0.3229184441083075	 f1(macro):0.3155285745916099	 acc:0.6107784431137725
p:0.4429014007658896	 r:0.35003657309045466	 f1(macro):0.3358869967592448	 acc:0.6077844311377245
p:0.5042588665395683	 r:0.34898486567097886	 f1(macro):0.3514066639555163	 acc:0.6227544910179641
p:0.489052493041939	 r:0.3582276132530847	 f1(macro):0.35600622207069593	 acc:0.6197604790419161
p:0.4981603743779954	 r:0.35932378670466614	 f1(macro):0.36762855475468936	 acc:0.6287425149700598
p:0.5269674346471732	 r:0.37019741910715953	 f1(macro):0.37274842773566064	 acc:0.6287425149700598
p:0.5047838536210629	 r:0.3798797678510551	 f1(macro):0.37930842815988564	 acc:0.6377245508982036
p:0.5065962164104463	 r:0.384272074382737	 f1(macro):0.379738323905481	 acc:0.6347305389221557
p:0.5232746964610989	 r:0.38064253662935715	 f1(macro):0.3916817422762661	 acc:0.6392215568862275
p:0.5353796446671765	 r:0.38624988070330923	 f1(macro):0.397322807221021	 acc:0.6482035928143712
p:0.5108779871840201	 r:0.39604149698748153	 f1(macro):0.4007315018632121	 acc:0.657185628742515
p:0.4950994912050932	 r:0.4020075927194805	 f1(macro):0.4038696968040058	 acc:0.6526946107784432
p:0.5230621663370202	 r:0.40059873376884947	 f1(macro):0.4093973385571063	 acc:0.655688622754491
p:0.5085312567803975	 r:0.40706324896151347	 f1(macro):0.4103664732279426	 acc:0.657185628742515
p:0.49081130653016086	 r:0.4048818158287286	 f1(macro):0.4112559531298406	 acc:0.6497005988023952
p:0.5026222276889707	 r:0.3907825029988	 f1(macro):0.4122597108946641	 acc:0.657185628742515
p:0.5281750952472226	 r:0.40757523537286516	 f1(macro):0.4169862040757066	 acc:0.6601796407185628
p:0.5295674755986592	 r:0.41019895919007193	 f1(macro):0.41854635684055314	 acc:0.6601796407185628
p:0.5043673994289977	 r:0.4054184786698754	 f1(macro):0.42139946556089336	 acc:0.6706586826347305
************
Unfreezing leaky_re_lu_1
****************
p:0.49955856809399773	 r:0.4124064358488223	 f1(macro):0.4319335855009034	 acc:0.6646706586826348
p:0.5284914436191226	 r:0.4177613456278697	 f1(macro):0.4384638137536907	 acc:0.6616766467065869
p:0.5316207130534616	 r:0.4279151066130379	 f1(macro):0.4488817561344264	 acc:0.6586826347305389
p:0.559461242901173	 r:0.42628893573701476	 f1(macro):0.4622597511573087	 acc:0.6721556886227545
p:0.566480279507718	 r:0.42840583139311006	 f1(macro):0.46577171670450096	 acc:0.6826347305389222
p:0.5685218159787193	 r:0.423480026168961	 f1(macro):0.4659728405574849	 acc:0.687125748502994
************
Unfreezing dense_3
****************
p:0.5345838105278526	 r:0.4509231593751379	 f1(macro):0.46940141562845267	 acc:0.6976047904191617
p:0.5779466798921158	 r:0.44469263043689394	 f1(macro):0.47129159447762636	 acc:0.6961077844311377
p:0.5670619201328262	 r:0.431690351496173	 f1(macro):0.47399912288861873	 acc:0.6841317365269461
p:0.6290161230750743	 r:0.42226897894294246	 f1(macro):0.4829110213237608	 acc:0.6976047904191617
p:0.5694375414948253	 r:0.4725075675066418	 f1(macro):0.4969485130835444	 acc:0.6901197604790419
p:0.5694375414948253	 r:0.4725075675066418	 f1(macro):0.4969485130835444	 acc:0.6901197604790419
avg_prec: 0.5694375414948253 total_rec: 0.4725075675066418 total_f1: 0.4969485130835444 total_acc: 0.6901197604790419 
