epoch:0 f1:0.057079523413688014 mse:0.06584124597452876 correlation_coeff:-0.034506992369357954
epoch:1 f1:0.061208831859030255 mse:0.07689196973555547 correlation_coeff:-0.024093478231171226
epoch:3 f1:0.08549042109455238 mse:0.06772279386277423 correlation_coeff:0.012504204201930557
epoch:4 f1:0.09264569593986773 mse:0.08337985485179243 correlation_coeff:0.021303183233862613
epoch:5 f1:0.12484557590837969 mse:0.07035293866869771 correlation_coeff:0.023674746226363425
epoch:71 f1:0.12855770808931588 mse:0.06561530053641695 correlation_coeff:0.10925079597640878
epoch:113 f1:0.13021626237310283 mse:0.07772286515690323 correlation_coeff:0.15705067833582836
epoch:155 f1:0.13359231998099033 mse:0.0655747695362134 correlation_coeff:0.13958936252550808
epoch:177 f1:0.14097212595220718 mse:0.06793175578317627 correlation_coeff:0.09773858460559916
