************
Unfreezing dense_45
****************
p:0.23475386779184249	 r:0.14424739163566108	 f1(macro):0.13529973792376193	 acc:0.5718562874251497
p:0.3644622271277901	 r:0.19174508798011589	 f1(macro):0.2073570338561574	 acc:0.6047904191616766
p:0.4072742217806793	 r:0.2520122714313474	 f1(macro):0.27855635258984335	 acc:0.6197604790419161
p:0.5096566190446935	 r:0.3016100320854889	 f1(macro):0.3324105902090673	 acc:0.6362275449101796
p:0.5052559684862432	 r:0.3311011668869306	 f1(macro):0.36308358582270267	 acc:0.6526946107784432
p:0.5116159765287712	 r:0.3424672423431321	 f1(macro):0.37370939665649855	 acc:0.6736526946107785
p:0.522352935664624	 r:0.33343797693629346	 f1(macro):0.3738248022450614	 acc:0.6766467065868264
p:0.5220156578442832	 r:0.3719221112861252	 f1(macro):0.4149440644252862	 acc:0.6751497005988024
p:0.5203707896864631	 r:0.37985718586671846	 f1(macro):0.4225714564196783	 acc:0.688622754491018
p:0.5217766258538791	 r:0.383233581735675	 f1(macro):0.4271728574741913	 acc:0.6841317365269461
p:0.570346947738252	 r:0.4020716140055549	 f1(macro):0.450503018496363	 acc:0.687125748502994
p:0.5588442317618484	 r:0.4059271887607097	 f1(macro):0.4535332003477222	 acc:0.6931137724550899
p:0.5902962714759445	 r:0.4023439313908409	 f1(macro):0.45604485604110995	 acc:0.6931137724550899
p:0.5541865157267921	 r:0.4337163085049246	 f1(macro):0.46036620829066927	 acc:0.6961077844311377
p:0.5553575167164603	 r:0.44606464872862805	 f1(macro):0.4669881707324753	 acc:0.6976047904191617
p:0.5838275191810991	 r:0.416849245403017	 f1(macro):0.47096209618254076	 acc:0.7095808383233533
p:0.6551113152766275	 r:0.4248691027405723	 f1(macro):0.4861770458235511	 acc:0.7095808383233533
p:0.6551113152766275	 r:0.4248691027405723	 f1(macro):0.4861770458235511	 acc:0.7095808383233533
avg_prec: 0.6551113152766275 total_rec: 0.4248691027405723 total_f1: 0.4861770458235511 total_acc: 0.7095808383233533 
