************
Unfreezing dense_45
****************
p:0.06220891550232868	 r:0.1111111111111111	 f1(macro):0.0797611431008744	 acc:0.5598802395209581
p:0.17416961726521665	 r:0.12750455373406192	 f1(macro):0.10902748966640546	 acc:0.5733532934131736
p:0.1743615761880602	 r:0.13114754098360656	 f1(macro):0.1145627522122834	 acc:0.5763473053892215
p:0.17455470737913487	 r:0.13479052823315119	 f1(macro):0.11980785450173206	 acc:0.5793413173652695
p:0.3003660637381567	 r:0.14009365578393324	 f1(macro):0.1295462111050291	 acc:0.5823353293413174
p:0.36772486772486773	 r:0.21327646426085936	 f1(macro):0.1677154999649419	 acc:0.5838323353293413
p:0.4097391808632451	 r:0.22251971082662111	 f1(macro):0.1836843815225128	 acc:0.5853293413173652
p:0.5398448086995029	 r:0.24135650662420124	 f1(macro):0.24321269604214407	 acc:0.5898203592814372
p:0.47059712255790687	 r:0.30006484629051194	 f1(macro):0.2734842410305402	 acc:0.6017964071856288
p:0.41170634920634924	 r:0.2541577217899093	 f1(macro):0.27621770540680785	 acc:0.6092814371257484
p:0.42291688907868047	 r:0.2547278224717072	 f1(macro):0.2792462517997389	 acc:0.6152694610778443
p:0.39360699174233216	 r:0.2840362262174703	 f1(macro):0.30244678743359493	 acc:0.6197604790419161
p:0.4228508563532228	 r:0.31327613186052583	 f1(macro):0.3314027766063247	 acc:0.6332335329341318
p:0.4291075462649716	 r:0.3331157746833011	 f1(macro):0.3494069376452915	 acc:0.625748502994012
p:0.4679726864425055	 r:0.34127134895809275	 f1(macro):0.3801380919750172	 acc:0.624251497005988
p:0.4971339688355986	 r:0.34758891505764633	 f1(macro):0.3908988159720815	 acc:0.6467065868263473
p:0.45703964911307415	 r:0.3876063706277896	 f1(macro):0.40506050656074305	 acc:0.6511976047904192
p:0.5131182005553604	 r:0.3648715242591344	 f1(macro):0.4124383085144663	 acc:0.655688622754491
p:0.5421455559134091	 r:0.38141067939866297	 f1(macro):0.42610833804697057	 acc:0.6661676646706587
p:0.5212235391193201	 r:0.40194097509962434	 f1(macro):0.44403461286762996	 acc:0.6781437125748503
p:0.5118105037068864	 r:0.43098140731926154	 f1(macro):0.45771039459210755	 acc:0.6646706586826348
p:0.5129711151764524	 r:0.4373060768997588	 f1(macro):0.46471699512267467	 acc:0.6706586826347305
p:0.5345044575100072	 r:0.442344275393731	 f1(macro):0.4731934775946376	 acc:0.6691616766467066
p:0.5417922291339347	 r:0.4470027350895271	 f1(macro):0.47526939307480337	 acc:0.6751497005988024
p:0.5689633611202239	 r:0.4552868302842577	 f1(macro):0.47836488809979805	 acc:0.6721556886227545
p:0.5689633611202239	 r:0.4552868302842577	 f1(macro):0.47836488809979805	 acc:0.6721556886227545
avg_prec: 0.5689633611202239 total_rec: 0.4552868302842577 total_f1: 0.47836488809979805 total_acc: 0.6721556886227545 
