************
Unfreezing dense_21
****************
p:0.17426545086119555	 r:0.12932604735883424	 f1(macro):0.11183292693282867	 acc:0.5748502994011976
p:0.17370956344897712	 r:0.19665097522736957	 f1(macro):0.16936652808866762	 acc:0.5733532934131736
p:0.24516692204939142	 r:0.23341588340130645	 f1(macro):0.18812099801734491	 acc:0.5913173652694611
p:0.2432375353118387	 r:0.26503510795184	 f1(macro):0.228980352080656	 acc:0.5868263473053892
p:0.29616887076662635	 r:0.28050143100590863	 f1(macro):0.2294461036000483	 acc:0.592814371257485
p:0.30231826187855965	 r:0.30994779707705283	 f1(macro):0.2662168132657769	 acc:0.6077844311377245
p:0.32181318480893456	 r:0.33782250404684455	 f1(macro):0.2780512763554869	 acc:0.6047904191616766
p:0.3354395825591478	 r:0.35269726614204244	 f1(macro):0.2946837197751498	 acc:0.6317365269461078
p:0.47339761852274204	 r:0.3551160666951192	 f1(macro):0.3426259990789221	 acc:0.6302395209580839
p:0.4395377548320682	 r:0.4053598742840917	 f1(macro):0.3720476348849966	 acc:0.6392215568862275
p:0.49252918873701074	 r:0.3907269325019788	 f1(macro):0.41110447727007177	 acc:0.655688622754491
p:0.5061946507158249	 r:0.39848057694337924	 f1(macro):0.41845314666564165	 acc:0.6601796407185628
p:0.5123178877785268	 r:0.40883650542859645	 f1(macro):0.4305630506530113	 acc:0.6781437125748503
p:0.5320593912260578	 r:0.4259251120506605	 f1(macro):0.44305111200990704	 acc:0.6751497005988024
p:0.5407053758592756	 r:0.4570952469828317	 f1(macro):0.45621097280544703	 acc:0.6751497005988024
p:0.5086963790835988	 r:0.45743347575211313	 f1(macro):0.45937198455007966	 acc:0.6691616766467066
p:0.5361207971263611	 r:0.45742452589961047	 f1(macro):0.46991195647542927	 acc:0.687125748502994
p:0.5795981023136035	 r:0.4415654879155279	 f1(macro):0.4871178796958828	 acc:0.6916167664670658
p:0.6036996046704454	 r:0.45190623035933286	 f1(macro):0.4904565471704488	 acc:0.7035928143712575
p:0.5889143022312956	 r:0.49569044119206956	 f1(macro):0.506871905343568	 acc:0.7050898203592815
p:0.58600706597093	 r:0.4858788871397356	 f1(macro):0.5103718702317969	 acc:0.7020958083832335
p:0.6001842585543026	 r:0.47303666943200806	 f1(macro):0.5125500369808784	 acc:0.7110778443113772
p:0.6001842585543026	 r:0.47303666943200806	 f1(macro):0.5125500369808784	 acc:0.7110778443113772
avg_prec: 0.6001842585543026 total_rec: 0.47303666943200806 total_f1: 0.5125500369808784 total_acc: 0.7110778443113772 
