************
Unfreezing dense_18
****************
p:0.17923887483066225	 r:0.128298701366028	 f1(macro):0.11659743024248767	 acc:0.5494011976047904
p:0.22788164361351773	 r:0.13356275592254066	 f1(macro):0.11960482317449933	 acc:0.5703592814371258
p:0.24654766594942976	 r:0.13415693298730594	 f1(macro):0.11990728808090528	 acc:0.5733532934131736
p:0.19534255545551282	 r:0.13569457183169192	 f1(macro):0.12132231446846903	 acc:0.5748502994011976
p:0.3117626886145405	 r:0.1356487646499156	 f1(macro):0.12326330820224785	 acc:0.5763473053892215
p:0.3656699889258029	 r:0.14203708455116051	 f1(macro):0.12998771214262114	 acc:0.5823353293413174
p:0.3655237107803204	 r:0.1444459104893982	 f1(macro):0.13525829355530866	 acc:0.5808383233532934
************
Unfreezing leaky_re_lu_26
****************
p:0.35572916666666665	 r:0.14534356508724258	 f1(macro):0.13615791034223995	 acc:0.5808383233532934
p:0.29750162027157334	 r:0.14864365662262824	 f1(macro):0.14221748536641557	 acc:0.5838323353293413
p:0.38846602508019834	 r:0.15245495251080063	 f1(macro):0.14877097719426213	 acc:0.5838323353293413
p:0.397417170679752	 r:0.15575504404618626	 f1(macro):0.1543930527868897	 acc:0.5868263473053892
p:0.3960873393203028	 r:0.16016051699912393	 f1(macro):0.16114215424282208	 acc:0.5898203592814372
p:0.384347442680776	 r:0.1610581715969683	 f1(macro):0.1639724736275965	 acc:0.5898203592814372
p:0.4576154052603328	 r:0.18080400667549382	 f1(macro):0.19405869163211273	 acc:0.5898203592814372
p:0.35430006032842914	 r:0.1937994649626029	 f1(macro):0.20705162982658754	 acc:0.5973053892215568
p:0.3905635007945239	 r:0.20177593355422527	 f1(macro):0.22273729367815262	 acc:0.6032934131736527
p:0.5026790897480553	 r:0.2121511499809546	 f1(macro):0.24134769347738383	 acc:0.6017964071856288
p:0.4505531505531505	 r:0.222770638834515	 f1(macro):0.24741281188649614	 acc:0.6092814371257484
p:0.4601981086176488	 r:0.23227790151922342	 f1(macro):0.2612582765733093	 acc:0.6107784431137725
p:0.5868154822066284	 r:0.2350897294034452	 f1(macro):0.2705126309996061	 acc:0.6137724550898204
p:0.5430361972915164	 r:0.2502567913217994	 f1(macro):0.2898744724612227	 acc:0.6182634730538922
p:0.5090349446470647	 r:0.2615654258949314	 f1(macro):0.29719578773184085	 acc:0.6197604790419161
p:0.4921329587227496	 r:0.2755626422438447	 f1(macro):0.30322701175171424	 acc:0.6137724550898204
p:0.5337552061140053	 r:0.2859382367148071	 f1(macro):0.3207600147451588	 acc:0.6227544910179641
p:0.4543246408298136	 r:0.27951996718816413	 f1(macro):0.32435562557456277	 acc:0.6272455089820359
p:0.5379943485935033	 r:0.2874417941301245	 f1(macro):0.33432940898518543	 acc:0.6437125748502994
p:0.48427265645512524	 r:0.29070110290976225	 f1(macro):0.338210203160225	 acc:0.6347305389221557
p:0.5062723789686587	 r:0.32151880600503085	 f1(macro):0.37044730389708075	 acc:0.6452095808383234
p:0.5051505718572207	 r:0.32730745246317194	 f1(macro):0.37504528352481187	 acc:0.6482035928143712
p:0.5098369533366693	 r:0.3372594184420691	 f1(macro):0.37930769552047366	 acc:0.6467065868263473
p:0.5175702302895285	 r:0.3411733097949127	 f1(macro):0.3885614069813728	 acc:0.6497005988023952
p:0.5118703032165792	 r:0.34408856426149975	 f1(macro):0.3924887579323351	 acc:0.655688622754491
p:0.5146141528592056	 r:0.35514153546627364	 f1(macro):0.3987506414494423	 acc:0.6467065868263473
p:0.5295091272561119	 r:0.3597031484393168	 f1(macro):0.4066398004560548	 acc:0.6526946107784432
p:0.5869579137208544	 r:0.3591652606737905	 f1(macro):0.421923056211762	 acc:0.6497005988023952
************
Unfreezing concatenate_6
****************
p:0.5669027952730101	 r:0.371529875349588	 f1(macro):0.42549807831794106	 acc:0.6511976047904192
p:0.5338929071341011	 r:0.3805353143231747	 f1(macro):0.42656907162013896	 acc:0.655688622754491
p:0.520961530178208	 r:0.39125953954835024	 f1(macro):0.4306867477350672	 acc:0.655688622754491
p:0.4847019069872513	 r:0.4203264323610574	 f1(macro):0.43423886193518574	 acc:0.6601796407185628
p:0.4927037151721584	 r:0.4171531785344645	 f1(macro):0.43435406449862657	 acc:0.6586826347305389
p:0.4944924911868038	 r:0.4193526930355868	 f1(macro):0.4370368139775185	 acc:0.6541916167664671
************
Unfreezing leaky_re_lu_30
****************
p:0.4930668413250381	 r:0.4163287689511174	 f1(macro):0.4398891924272627	 acc:0.655688622754491
p:0.5154735414582605	 r:0.4205924872355248	 f1(macro):0.4449276794633595	 acc:0.6526946107784432
p:0.5099334434729851	 r:0.4431060741985198	 f1(macro):0.45507361202863833	 acc:0.6676646706586826
************
Unfreezing dense_18
****************
p:0.5311413707065881	 r:0.42799650777717013	 f1(macro):0.4599736392163191	 acc:0.6781437125748503
p:0.5446534116972017	 r:0.4520034472755965	 f1(macro):0.4611521138473493	 acc:0.6736526946107785
p:0.5475480297256029	 r:0.44069141868325334	 f1(macro):0.462259162464411	 acc:0.6736526946107785
p:0.5758158971054796	 r:0.4490820526855257	 f1(macro):0.4860373951661493	 acc:0.6796407185628742
p:0.5758158971054796	 r:0.4490820526855257	 f1(macro):0.4860373951661493	 acc:0.6796407185628742
avg_prec: 0.5758158971054796 total_rec: 0.4490820526855257 total_f1: 0.4860373951661493 total_acc: 0.6796407185628742 
