************
Unfreezing dense_54
****************
p:0.19128308053389487	 r:0.1313216101966327	 f1(macro):0.12239639076240762	 acc:0.5494011976047904
p:0.25428767998427443	 r:0.13873699301577486	 f1(macro):0.1238423594081581	 acc:0.5793413173652695
p:0.468843298636327	 r:0.13703800084785397	 f1(macro):0.1252712666064612	 acc:0.5763473053892215
p:0.3587952006371101	 r:0.14173999601877785	 f1(macro):0.128960876147285	 acc:0.5808383233532934
************
Unfreezing leaky_re_lu_86
****************
p:0.38388192267502613	 r:0.14402688681456058	 f1(macro):0.13340309323274296	 acc:0.5808383233532934
p:0.4134275248560963	 r:0.14843235976749827	 f1(macro):0.14033957185589396	 acc:0.5838323353293413
p:0.3935114007044602	 r:0.1577842644906663	 f1(macro):0.15438179943485442	 acc:0.5883233532934131
p:0.3314055615100631	 r:0.15959891336413867	 f1(macro):0.15753730410676256	 acc:0.5838323353293413
p:0.4269815418023887	 r:0.17969596404658403	 f1(macro):0.18901907732469647	 acc:0.5898203592814372
p:0.4351833994071217	 r:0.18316436422059743	 f1(macro):0.19652549747585715	 acc:0.5898203592814372
p:0.4076262626262626	 r:0.19463485110092035	 f1(macro):0.20896702636794	 acc:0.5973053892215568
p:0.40736306775099496	 r:0.19662465336432045	 f1(macro):0.2123138743373164	 acc:0.5958083832335329
p:0.4172720995898514	 r:0.19599790286977514	 f1(macro):0.21328579283500806	 acc:0.5958083832335329
p:0.41693444378866373	 r:0.1992979944051608	 f1(macro):0.21646615339615993	 acc:0.5988023952095808
p:0.4170471091842655	 r:0.2004927375353878	 f1(macro):0.21870349218803098	 acc:0.6002994011976048
p:0.44329154558008205	 r:0.2010869146001531	 f1(macro):0.21929338077736799	 acc:0.6032934131736527
p:0.447832956046029	 r:0.20792133522767717	 f1(macro):0.22922678451108883	 acc:0.6062874251497006
p:0.49134483630565284	 r:0.21489144783099656	 f1(macro):0.2412666267805451	 acc:0.6152694610778443
p:0.42281031337635105	 r:0.21956782488723325	 f1(macro):0.24715419130678454	 acc:0.6182634730538922
p:0.47474073233660263	 r:0.25640996484222706	 f1(macro):0.2945780934917952	 acc:0.6287425149700598
p:0.4573355282507061	 r:0.2629999921034971	 f1(macro):0.30110152049066313	 acc:0.6287425149700598
p:0.48128700781578476	 r:0.2673660468753549	 f1(macro):0.30952465456304407	 acc:0.6287425149700598
p:0.4651053435583823	 r:0.2731875498381851	 f1(macro):0.3150192472026171	 acc:0.6302395209580839
p:0.5290829225202263	 r:0.2796522377065436	 f1(macro):0.3256990772691256	 acc:0.6407185628742516
p:0.49472967120025946	 r:0.28127956457156605	 f1(macro):0.32812844172397515	 acc:0.6392215568862275
p:0.48767204205800696	 r:0.29605738137727655	 f1(macro):0.3429924004113753	 acc:0.6467065868263473
p:0.47960425411405805	 r:0.3058449288069491	 f1(macro):0.3500875476582549	 acc:0.6482035928143712
p:0.46130296986200886	 r:0.3111085708459107	 f1(macro):0.35303920016616197	 acc:0.6526946107784432
p:0.49294404605175746	 r:0.30677918262059917	 f1(macro):0.3532467560265672	 acc:0.655688622754491
p:0.5228408881845013	 r:0.30449970289051287	 f1(macro):0.3571839864415733	 acc:0.6616766467065869
p:0.49440889220570977	 r:0.3102740502986052	 f1(macro):0.35755857898715043	 acc:0.6586826347305389
p:0.47962488669659986	 r:0.31288408461321215	 f1(macro):0.3578720060247968	 acc:0.6467065868263473
p:0.48272062288080597	 r:0.3151907708373821	 f1(macro):0.35922810045781045	 acc:0.6526946107784432
p:0.482596258329733	 r:0.32580772380057743	 f1(macro):0.36902562945101436	 acc:0.6661676646706587
p:0.48019077582105524	 r:0.3295470280778898	 f1(macro):0.3722766186968187	 acc:0.6661676646706587
p:0.48270181379691757	 r:0.3305098295352942	 f1(macro):0.373790670139415	 acc:0.6601796407185628
p:0.4946407037380086	 r:0.32859308418080646	 f1(macro):0.3750718998923333	 acc:0.6661676646706587
p:0.49709717833285627	 r:0.33122134381601565	 f1(macro):0.3783756727715724	 acc:0.6511976047904192
p:0.5009715095256045	 r:0.33716845651411254	 f1(macro):0.3810348936011931	 acc:0.6676646706586826
p:0.49565351960238047	 r:0.3377525699853697	 f1(macro):0.3813327060745117	 acc:0.6586826347305389
p:0.4883248048736832	 r:0.3447434196985632	 f1(macro):0.38426577930592454	 acc:0.6631736526946108
p:0.5294084736049794	 r:0.357428283922282	 f1(macro):0.40603899392605197	 acc:0.6586826347305389
************
Unfreezing concatenate_18
****************
p:0.5355243001816645	 r:0.35954002132813706	 f1(macro):0.40828687790526325	 acc:0.655688622754491
p:0.5442824885995985	 r:0.3636158323189121	 f1(macro):0.4131138852945453	 acc:0.6601796407185628
p:0.49969789860595426	 r:0.37736162497744463	 f1(macro):0.4177356713560411	 acc:0.6631736526946108
p:0.525249547656265	 r:0.38231196510868953	 f1(macro):0.4185038325610821	 acc:0.6661676646706587
p:0.5207474633212892	 r:0.3871366071209403	 f1(macro):0.42434179298588104	 acc:0.6601796407185628
p:0.5320131467751023	 r:0.3780064843993175	 f1(macro):0.4253894006604588	 acc:0.6766467065868264
************
Unfreezing leaky_re_lu_90
****************
p:0.529445702068792	 r:0.4004120928600257	 f1(macro):0.43504499749520803	 acc:0.6736526946107785
p:0.5167402082643028	 r:0.4100651488964225	 f1(macro):0.43743912811812846	 acc:0.6646706586826348
p:0.5318690326889656	 r:0.4100157043484834	 f1(macro):0.44372204225226586	 acc:0.6706586826347305
p:0.5482169149450299	 r:0.41276647750485274	 f1(macro):0.451668153023467	 acc:0.6736526946107785
p:0.5803352936990067	 r:0.41671424742738533	 f1(macro):0.46272109322599864	 acc:0.6856287425149701
p:0.5692635121231004	 r:0.42451499048860697	 f1(macro):0.46757138438713625	 acc:0.688622754491018
************
Unfreezing dense_54
****************
p:0.5692635121231004	 r:0.42451499048860697	 f1(macro):0.46757138438713625	 acc:0.688622754491018
avg_prec: 0.5692635121231004 total_rec: 0.42451499048860697 total_f1: 0.46757138438713625 total_acc: 0.688622754491018 
