************
Unfreezing dense_54
****************
p:0.17394986449864497	 r:0.12297030088736934	 f1(macro):0.10291896693952662	 acc:0.5658682634730539
p:0.17419245729748012	 r:0.1290289588264516	 f1(macro):0.11169549899895115	 acc:0.5733532934131736
p:0.15729105500097867	 r:0.1308504524512239	 f1(macro):0.11358588909609318	 acc:0.5748502994011976
p:0.15976405195394477	 r:0.13449343970076855	 f1(macro):0.11872142218577927	 acc:0.5778443113772455
p:0.1607873210633947	 r:0.13631493332554084	 f1(macro):0.12119243113395162	 acc:0.5793413173652695
p:0.16170195676837043	 r:0.13813642695031317	 f1(macro):0.12360225140712945	 acc:0.5808383233532934
************
Unfreezing leaky_re_lu_86
****************
p:0.1747490216096648	 r:0.1384335154826958	 f1(macro):0.12478575536536894	 acc:0.5823353293413174
p:0.1538834991401088	 r:0.14088814860270985	 f1(macro):0.1269182701659858	 acc:0.5793413173652695
p:0.1544406055447065	 r:0.14029397153794454	 f1(macro):0.1271992085000215	 acc:0.5763473053892215
p:0.1480309423347398	 r:0.147238415982389	 f1(macro):0.1333988146246011	 acc:0.5778443113772455
p:0.1593915343915344	 r:0.1481296815795369	 f1(macro):0.1357344430095183	 acc:0.5823353293413174
p:0.15442107148393466	 r:0.1496540866719266	 f1(macro):0.13667905682316386	 acc:0.5823353293413174
p:0.2666073230213111	 r:0.1635493645615119	 f1(macro):0.14954852406562247	 acc:0.5808383233532934
p:0.18560418541854184	 r:0.1653708581862842	 f1(macro):0.1553523679483741	 acc:0.5823353293413174
p:0.2825421156942896	 r:0.17812187987408684	 f1(macro):0.16734430342159376	 acc:0.592814371257485
p:0.29307661673253066	 r:0.1752207162236899	 f1(macro):0.17520288627203828	 acc:0.592814371257485
p:0.29693638750242524	 r:0.18914640253842332	 f1(macro):0.19332158524795887	 acc:0.5973053892215568
p:0.3594243812364618	 r:0.19322853519915428	 f1(macro):0.20164662982819637	 acc:0.6017964071856288
p:0.40234000800038533	 r:0.2194768717460153	 f1(macro):0.24006865407645195	 acc:0.6017964071856288
p:0.5147697407387329	 r:0.2456520278321895	 f1(macro):0.2831415479865268	 acc:0.6047904191616766
p:0.4733672765925654	 r:0.27745092732860743	 f1(macro):0.3158242423439994	 acc:0.6167664670658682
p:0.49205748297632884	 r:0.2791301976371137	 f1(macro):0.3165636748395614	 acc:0.6287425149700598
p:0.4288596136741917	 r:0.2890542886561078	 f1(macro):0.3215419586916798	 acc:0.6182634730538922
p:0.4422286365034457	 r:0.2958684134349324	 f1(macro):0.3279724636533514	 acc:0.6272455089820359
p:0.45491848686293124	 r:0.3130363463640512	 f1(macro):0.34701989596160726	 acc:0.6407185628742516
p:0.4539150322861986	 r:0.31606950436099085	 f1(macro):0.3554656024924782	 acc:0.6347305389221557
p:0.5169355912471855	 r:0.31563713637036395	 f1(macro):0.36195774374878986	 acc:0.6437125748502994
p:0.49342906442845597	 r:0.32158342834659065	 f1(macro):0.36600748757920015	 acc:0.6497005988023952
p:0.47808436602515514	 r:0.3387596322061286	 f1(macro):0.37657963292692337	 acc:0.6482035928143712
p:0.49925588752841793	 r:0.33759894175794136	 f1(macro):0.38181035971733646	 acc:0.6482035928143712
p:0.5147147705388445	 r:0.33408025142886605	 f1(macro):0.3820107487265434	 acc:0.6452095808383234
p:0.5394165016162192	 r:0.34684976887156294	 f1(macro):0.3982905492436521	 acc:0.6482035928143712
p:0.49650682872738383	 r:0.3684317114723949	 f1(macro):0.41157783706336704	 acc:0.6616766467065869
p:0.49465738652864516	 r:0.3704518085681976	 f1(macro):0.4122022146157385	 acc:0.657185628742515
p:0.5095215135703612	 r:0.3832810641383617	 f1(macro):0.4219538813524465	 acc:0.6586826347305389
p:0.4881530090296211	 r:0.3914543892599432	 f1(macro):0.42631087395892114	 acc:0.6706586826347305
p:0.4845044917765134	 r:0.397124553973605	 f1(macro):0.43000197807338675	 acc:0.6631736526946108
p:0.5078631990127072	 r:0.40457449709739196	 f1(macro):0.4406006716138651	 acc:0.655688622754491
p:0.5274364505987023	 r:0.40438514338872833	 f1(macro):0.44702215267817397	 acc:0.6631736526946108
************
Unfreezing concatenate_18
****************
p:0.4937474447854801	 r:0.43761729763257234	 f1(macro):0.4483870890612454	 acc:0.6691616766467066
p:0.4853557538728139	 r:0.4441015582094358	 f1(macro):0.44869991206406745	 acc:0.6706586826347305
p:0.4823292995336006	 r:0.44252753589341265	 f1(macro):0.4508735980121552	 acc:0.6676646706586826
p:0.48337587976956825	 r:0.43721165628773756	 f1(macro):0.4514331462759722	 acc:0.6781437125748503
p:0.4794697689604366	 r:0.4405181368238196	 f1(macro):0.4542160638117186	 acc:0.6766467065868264
p:0.5048487424561756	 r:0.4426399868061234	 f1(macro):0.4617791780493488	 acc:0.6856287425149701
p:0.5439648938172874	 r:0.4373977648322841	 f1(macro):0.462403164745779	 acc:0.6826347305389222
p:0.50171061282281	 r:0.45158792301656775	 f1(macro):0.46704240747189263	 acc:0.6976047904191617
************
Unfreezing leaky_re_lu_90
****************
************
Unfreezing dense_54
****************
p:0.5543524745792658	 r:0.43783990188443905	 f1(macro):0.4775807559982336	 acc:0.688622754491018
p:0.5543524745792658	 r:0.43783990188443905	 f1(macro):0.4775807559982336	 acc:0.688622754491018
avg_prec: 0.5543524745792658 total_rec: 0.43783990188443905 total_f1: 0.4775807559982336 total_acc: 0.688622754491018 
