************
Unfreezing dense_33
****************
p:0.4150761190638491	 r:0.1347122581853878	 f1(macro):0.1257376123236723	 acc:0.5733532934131736
p:0.3285917785917786	 r:0.1933585717102715	 f1(macro):0.205606544563145	 acc:0.6047904191616766
p:0.2869949319365256	 r:0.20303057299818544	 f1(macro):0.20782419314151646	 acc:0.6032934131736527
p:0.4713774596036294	 r:0.2955111523216378	 f1(macro):0.3383006359026372	 acc:0.6437125748502994
p:0.5699565324754299	 r:0.32782801605727224	 f1(macro):0.3702073294351516	 acc:0.6497005988023952
p:0.49299153704115856	 r:0.3357655797965149	 f1(macro):0.3758968188172627	 acc:0.655688622754491
p:0.5396484554688402	 r:0.3737083783303196	 f1(macro):0.41950371537909975	 acc:0.6736526946107785
p:0.5166189370490445	 r:0.39836690734452107	 f1(macro):0.4383107631296637	 acc:0.6796407185628742
p:0.5994349119060889	 r:0.390094372285516	 f1(macro):0.45053947637023345	 acc:0.6826347305389222
p:0.5445292773520345	 r:0.4423116617598511	 f1(macro):0.4778704396498411	 acc:0.6976047904191617
p:0.5423692068500183	 r:0.4539669848820401	 f1(macro):0.4807544304055857	 acc:0.7020958083832335
p:0.567953858945618	 r:0.45728982930483375	 f1(macro):0.48758226558448253	 acc:0.6976047904191617
p:0.5740771352780091	 r:0.4419988011633921	 f1(macro):0.48761163839779187	 acc:0.7050898203592815
p:0.5740771352780091	 r:0.4419988011633921	 f1(macro):0.48761163839779187	 acc:0.7050898203592815
avg_prec: 0.5740771352780091 total_rec: 0.4419988011633921 total_f1: 0.48761163839779187 total_acc: 0.7050898203592815 
