************
Unfreezing dense_27
****************
p:0.1738838536421618	 r:0.11475409836065574	 f1(macro):0.0872777539444206	 acc:0.562874251497006
p:0.1737891737891738	 r:0.12021857923497269	 f1(macro):0.09698073632499862	 acc:0.5673652694610778
p:0.17397881996974282	 r:0.1238615664845173	 f1(macro):0.10317640743898204	 acc:0.5703592814371258
p:0.17426545086119555	 r:0.12932604735883424	 f1(macro):0.11183292693282867	 acc:0.5748502994011976
p:0.1743615761880602	 r:0.13114754098360656	 f1(macro):0.1145627522122834	 acc:0.5763473053892215
************
Unfreezing leaky_re_lu_45
****************
p:0.1744579945799458	 r:0.13296903460837886	 f1(macro):0.11722007950229789	 acc:0.5778443113772455
p:0.16654531333430414	 r:0.13449343970076855	 f1(macro):0.11914973339097851	 acc:0.5778443113772455
p:0.17455470737913487	 r:0.13479052823315119	 f1(macro):0.11980785450173206	 acc:0.5793413173652695
p:0.1746517159361196	 r:0.1366120218579235	 f1(macro):0.12232886583081136	 acc:0.5808383233532934
p:0.16790218132242674	 r:0.1384335154826958	 f1(macro):0.12429502487982019	 acc:0.5823353293413174
p:0.1747490216096648	 r:0.1384335154826958	 f1(macro):0.12478575536536894	 acc:0.5823353293413174
************
Unfreezing concatenate_9
****************
p:0.2727400703871292	 r:0.1501850174302762	 f1(macro):0.1456864316239316	 acc:0.5808383233532934
p:0.3839491626131706	 r:0.16870353594879473	 f1(macro):0.17751137751137752	 acc:0.5823353293413174
p:0.4397015890333465	 r:0.17564798039323917	 f1(macro):0.19001534855273017	 acc:0.5838323353293413
p:0.44590192043895743	 r:0.1759450689256218	 f1(macro):0.19070856422454596	 acc:0.5853293413173652
p:0.585088285960379	 r:0.21417684909288584	 f1(macro):0.22895825875237089	 acc:0.5898203592814372
p:0.5054106426717893	 r:0.25920000885005395	 f1(macro):0.2487262511422805	 acc:0.594311377245509
p:0.45006423584698346	 r:0.26220301185305694	 f1(macro):0.25413613771765253	 acc:0.5958083832335329
p:0.5666768416768417	 r:0.26919246413416004	 f1(macro):0.26649208849307027	 acc:0.6002994011976048
p:0.5288277297939133	 r:0.27101395775893233	 f1(macro):0.2682266413663488	 acc:0.6017964071856288
p:0.5344176824790718	 r:0.2737198722295527	 f1(macro):0.2730731470347	 acc:0.6017964071856288
p:0.5038810038639332	 r:0.281276750831941	 f1(macro):0.2796317335639869	 acc:0.6077844311377245
p:0.5780369087434304	 r:0.28239540923454176	 f1(macro):0.28766020270641174	 acc:0.6032934131736527
p:0.5919440808149055	 r:0.27264282878524004	 f1(macro):0.2884998189142148	 acc:0.6047904191616766
p:0.5919637804187889	 r:0.2971265694691705	 f1(macro):0.2949454594962615	 acc:0.6107784431137725
p:0.4602153531978094	 r:0.2897039353628941	 f1(macro):0.30674465701056053	 acc:0.6107784431137725
p:0.43814639675750783	 r:0.3009240811374415	 f1(macro):0.3215034425017272	 acc:0.6212574850299402
p:0.4581420075257518	 r:0.3043993260627548	 f1(macro):0.3274754700860771	 acc:0.6272455089820359
p:0.46040855155066257	 r:0.33614760775587565	 f1(macro):0.35495366844376747	 acc:0.6287425149700598
p:0.471492217125912	 r:0.3369795491797636	 f1(macro):0.3592451794190319	 acc:0.6347305389221557
p:0.5183401603046096	 r:0.3256389133173246	 f1(macro):0.35957811608737716	 acc:0.6362275449101796
p:0.5414900240558713	 r:0.3442101270019718	 f1(macro):0.37627641093352115	 acc:0.6362275449101796
p:0.539051689051689	 r:0.3541259812882429	 f1(macro):0.380156314517968	 acc:0.6422155688622755
p:0.5692068521996548	 r:0.35543068090464985	 f1(macro):0.38973506979480743	 acc:0.6467065868263473
p:0.5680264493121376	 r:0.3732317215564339	 f1(macro):0.3938009598929393	 acc:0.6511976047904192
p:0.526232202952435	 r:0.3724897988505644	 f1(macro):0.39502635272761133	 acc:0.6541916167664671
p:0.5409271908860442	 r:0.4010667015713139	 f1(macro):0.4197872454809406	 acc:0.6616766467065869
p:0.5302936115748884	 r:0.4167044670767698	 f1(macro):0.42623233370571084	 acc:0.6661676646706587
************
Unfreezing leaky_re_lu_41
****************
p:0.5203794192454249	 r:0.41881105472775315	 f1(macro):0.4295033851640877	 acc:0.6676646706586826
p:0.48817373805296504	 r:0.43035141522953935	 f1(macro):0.435745628855936	 acc:0.6706586826347305
p:0.4916742686415964	 r:0.4103368123053178	 f1(macro):0.43973247377319147	 acc:0.6826347305389222
p:0.5117144815061482	 r:0.4166470779029678	 f1(macro):0.4449692236411233	 acc:0.688622754491018
p:0.5233324625566005	 r:0.433375211460258	 f1(macro):0.4614740261052229	 acc:0.6961077844311377
************
Unfreezing dense_27
****************
p:0.5265553853822301	 r:0.44774084631347816	 f1(macro):0.46676237291812495	 acc:0.6901197604790419
p:0.5412211194980107	 r:0.4704751668036653	 f1(macro):0.4815099695849002	 acc:0.6991017964071856
p:0.5795159145564825	 r:0.46498175433474503	 f1(macro):0.4955432637312286	 acc:0.6976047904191617
p:0.5792335397900951	 r:0.47024443124362336	 f1(macro):0.49911086932352966	 acc:0.6976047904191617
p:0.5792335397900951	 r:0.47024443124362336	 f1(macro):0.49911086932352966	 acc:0.6976047904191617
avg_prec: 0.5792335397900951 total_rec: 0.47024443124362336 total_f1: 0.49911086932352966 total_acc: 0.6976047904191617 
